model,GPU type,Num of GPUs,batch_size,dataset,epochs,mode
mobilenet_v2,M40,1,64,mnist,8,
densenet161,k80,1,32,mnist,1,
densenet201,P100,2,128,mnist,4,ddp
densenet201,P100,2,32,mnist,1,dp
densenet169,P100,4,128,cifar10,7,ddp
resnet18,P100,4,64,cifar10,6,ddp
densenet169,k80,1,128,cifar10,3,
resnet18,k80,1,64,cifar10,6,
resnet101,P100,2,128,cifar100,2,dp
resnet50,P100,1,64,mnist,2,
densenet161,P100,4,32,cifar100,8,ddp
resnet50,P100,4,128,mnist,2,ddp
densenet161,P100,1,128,cifar100,6,
facebook/opt125m,P100,4,1,,,
resnet50,P100,2,64,cifar100,2,ddp
mobilenet_v2,P100,2,32,cifar10,5,ddp
densenet169,k80,2,128,cifar10,6,ddp
resnet101,k80,2,128,cifar100,4,dp
densenet121,P100,4,64,cifar100,1,dp
densenet169,P100,4,64,cifar100,4,ddp
densenet169,M40,1,32,cifar10,4,
resnet18,P100,4,64,cifar10,6,ddp
densenet121,P100,1,32,cifar10,4,
resnet101,k80,2,128,mnist,8,ddp
resnet101,M40,1,64,cifar10,8,
resnet34,P100,2,32,cifar10,1,ddp
resnet50,P100,4,32,mnist,6,dp
resnet152,k80,2,64,mnist,5,ddp
resnet152,P100,2,64,mnist,2,dp
mobilenet_v2,P100,4,64,cifar100,2,dp
densenet169,k80,2,64,cifar10,1,dp
mobilenet_v2,k80,2,128,cifar10,3,dp
mobilenet_v2,k80,2,128,mnist,4,dp
densenet121,P100,4,32,mnist,6,ddp
resnet18,k80,2,32,cifar100,4,ddp
resnet34,M40,1,128,cifar100,2,
resnet101,k80,2,64,cifar100,7,ddp
densenet121,P100,1,64,mnist,1,
resnet152,M40,1,128,cifar10,6,
densenet121,P100,4,32,mnist,1,ddp
resnet50,P100,4,32,cifar100,3,ddp
mobilenet_v2,k80,1,128,cifar10,5,
densenet161,k80,2,64,mnist,8,ddp
resnet101,k80,2,32,cifar10,5,dp
densenet169,k80,1,128,cifar10,8,
resnet152,P100,2,128,mnist,2,ddp
resnet101,k80,2,64,cifar100,3,dp
facebook/opt125m,k80,1,16,,,
densenet201,P100,4,128,cifar10,2,ddp
resnet152,P100,1,32,cifar100,1,
resnet50,k80,2,64,cifar10,1,dp
resnet152,P100,2,128,cifar100,7,dp
resnet18,P100,1,128,cifar100,7,
densenet121,P100,1,128,cifar100,6,
resnet101,k80,2,128,mnist,1,ddp
resnet101,k80,2,128,mnist,2,ddp
densenet201,k80,1,128,cifar100,4,
resnet50,P100,4,64,cifar100,2,ddp
densenet161,k80,2,32,cifar10,6,dp
densenet121,k80,2,32,cifar100,3,ddp
densenet161,P100,4,64,cifar10,2,dp
facebook/opt125m,k80,1,8,,,
densenet169,P100,4,64,cifar10,3,ddp
densenet201,k80,2,32,cifar10,3,dp
densenet201,k80,2,128,mnist,3,dp
mobilenet_v2,k80,1,64,mnist,7,
resnet50,P100,2,64,cifar10,7,dp
resnet18,P100,4,64,mnist,1,dp
resnet152,k80,2,128,mnist,7,ddp
resnet18,P100,2,128,mnist,8,dp
mobilenet_v2,k80,1,128,mnist,3,
resnet34,P100,1,128,cifar100,4,
densenet121,P100,1,128,mnist,8,
resnet50,P100,4,32,cifar100,5,ddp
densenet169,P100,1,128,cifar10,6,
resnet34,k80,1,32,cifar100,8,
resnet18,P100,2,32,mnist,3,ddp
densenet121,k80,2,64,mnist,2,dp
densenet201,P100,2,32,mnist,4,dp
densenet121,P100,4,64,mnist,5,dp
densenet201,P100,4,32,cifar100,3,ddp
densenet201,k80,1,64,cifar10,8,
resnet152,P100,2,128,cifar10,4,dp
densenet169,k80,2,64,cifar100,4,ddp
mobilenet_v2,P100,2,32,cifar10,5,dp
densenet161,P100,1,128,cifar10,2,
resnet101,k80,2,128,cifar100,2,dp
densenet161,k80,2,128,cifar10,3,ddp
densenet201,k80,1,64,mnist,8,
densenet201,P100,4,64,cifar10,7,ddp
densenet169,P100,4,128,cifar10,7,dp
resnet18,P100,2,128,cifar100,6,dp
resnet18,M40,1,32,cifar10,1,
resnet18,P100,2,64,mnist,4,dp
facebook/opt1.3b,P100,4,16,,,
densenet169,P100,4,128,cifar100,1,dp
resnet50,P100,4,128,cifar100,7,ddp
densenet161,k80,2,32,cifar10,8,dp
resnet50,P100,1,32,cifar100,4,
densenet169,M40,1,128,cifar10,2,
resnet101,P100,2,128,cifar100,5,ddp
resnet152,P100,2,128,mnist,3,ddp
mobilenet_v2,P100,2,32,cifar100,1,ddp
densenet161,P100,4,32,cifar10,3,dp
densenet201,k80,2,128,cifar10,1,ddp
resnet50,P100,2,64,cifar100,8,ddp
resnet101,M40,1,32,cifar10,1,
densenet161,P100,4,64,cifar10,2,ddp
resnet152,P100,4,128,cifar100,3,dp
densenet121,P100,1,32,mnist,7,
resnet101,P100,4,32,mnist,3,dp
densenet201,P100,4,32,mnist,2,dp
resnet101,P100,2,32,cifar10,2,dp
densenet201,P100,4,32,cifar100,7,dp
