model,GPU type,Num of GPUs,batch_size,dataset,epochs,mode
densenet161,P100,2,32,cifar10,3,dp
resnet34,P100,4,64,mnist,7,dp
densenet161,k80,1,128,cifar100,8,
resnet34,k80,2,64,cifar10,4,ddp
resnet152,M40,1,128,cifar100,6,
densenet161,k80,2,64,cifar100,7,dp
resnet152,M40,1,32,cifar10,1,
densenet201,k80,2,64,cifar100,6,dp
mobilenet_v2,P100,2,32,cifar10,5,dp
mobilenet_v2,P100,4,64,mnist,3,ddp
